Fid,TripID,RouteID,StopID,StopName,WeekBeginning,NumberOfBoardings,Label
151.101.1.140-10.42.0.151-80-58680-6,44687,700,72806,27  Crittenden Rd,30-06-2022  72:00:00 AM,7,1
198.11.132.221-10.42.0.211-443-58028-6,44687,700,74723,773 Cross Rd,30-06-2022  72:00:00 AM,6,1
219.142.78.162-10.42.0.211-80-60550-6,44688,700,72939,78  Crittenden Rd,30-06-2022  72:00:00 AM,3,0
173.194.208.188-10.42.0.42-5228-36098-6,44688,700,73877,8K  Marion Rd,30-06-2022  72:00:00 AM,7,1
172.217.12.206-10.42.0.151-443-37571-6,44688,700,73937,9B  Marion Rd,30-06-2022  72:00:00 AM,18,1
222.73.28.96-10.42.0.211-80-34397-6,44688,700,72864,20  Crittenden Rd,30-06-2022  72:00:00 AM,7,0
172.217.6.225-10.42.0.151-443-48456-6,44688,700,74755,780 Cross Rd,30-06-2022  72:00:00 AM,15,1
10.42.0.151-23.208.147.183-60966-443-6,44688,700,74064,20  Cross Rd,30-06-2022  72:00:00 AM,7,0
206.126.112.142-10.42.0.151-443-42271-6,44688,700,74758,787 Cross Rd,30-06-2022  72:00:00 AM,4,0
192.229.163.180-10.42.0.211-443-59906-6,44688,700,72463,220 Woodville Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-10.42.0.1-65040-53-17,44688,700,73499,8C  Marion Rd,30-06-2022  72:00:00 AM,18,1
10.42.0.211-104.192.110.245-34811-80-6,44688,700,74727,772 Cross Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-10.42.0.1-14796-53-17,44688,700,74746,777 Cross Rd,30-06-2022  72:00:00 AM,11,1
172.217.8.3-10.42.0.42-80-44821-6,44688,700,72663,276 Findon Rd,30-06-2022  72:00:00 AM,3,0
172.217.12.138-10.42.0.151-443-54377-6,44688,700,72806,27  Crittenden Rd,30-06-2022  72:00:00 AM,17,1
151.101.46.2-10.42.0.211-443-51471-6,44688,700,73073,205 Holbrooks Rd,30-06-2022  72:00:00 AM,5,0
10.42.0.151-119.167.164.25-42320-80-6,44688,700,73337,9A  Holbrooks Rd,30-06-2022  72:00:00 AM,70,1
10.42.0.211-104.97.95.172-36365-80-6,44688,700,73669,8F  Marion Rd,30-06-2022  72:00:00 AM,15,1
10.42.0.211-10.42.0.1-37648-53-17,44688,700,72947,77  Grange Rd,30-06-2022  72:00:00 AM,1,0
172.217.12.195-10.42.0.151-443-48392-6,44688,700,74095,766 Cross Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.211-119.146.74.34-33273-80-6,44688,700,74752,779 Cross Rd,30-06-2022  72:00:00 AM,7,0
180.163.255.159-10.42.0.211-80-59934-6,44688,700,73730,8G  Marion Rd,30-06-2022  72:00:00 AM,6,0
172.217.7.195-10.42.0.42-443-54692-17,44688,700,74729,774 Cross Rd,30-06-2022  72:00:00 AM,17,1
10.42.0.42-72.30.2.182-42276-443-6,44688,700,74742,776 Cross Rd,30-06-2022  72:00:00 AM,2,1
10.42.0.42-106.39.162.36-42068-80-6,44688,700,74083,765 Cross Rd,30-06-2022  72:00:00 AM,3,0
10.42.0.211-10.42.0.1-23660-53-17,44688,700,73577,8D  Marion Rd,30-06-2022  72:00:00 AM,12,1
180.76.147.97-10.42.0.211-80-35287-6,44688,700,72527,279 Woodville Rd,30-06-2022  72:00:00 AM,6,0
172.217.10.110-10.42.0.151-443-55134-6,44688,700,74737,77A  Marion Rd,30-06-2022  72:00:00 AM,7,1
10.42.0.1-10.42.0.42-53-56184-17,44688,700,73874,9  Marion Rd,30-06-2022  72:00:00 AM,5,0
172.217.12.142-10.42.0.211-443-33591-6,44688,700,72747,23  Findon Rd,30-06-2022  72:00:00 AM,18,1
172.217.10.78-10.42.0.42-443-51018-6,44688,700,73375,207 Marion Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.42-37.1.203.158-55462-443-6,44689,700,72352,Woodville,30-06-2022  72:00:00 AM,9,0
10.42.0.211-98.139.180.180-38782-443-6,44689,700,74702,768 Cross Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-66.198.24.225-49105-443-6,44689,700,74770,770 Cross Rd,30-06-2022  72:00:00 AM,5,0
158.85.224.187-10.42.0.211-443-53287-6,44689,700,74727,772 Cross Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.151-47.89.67.224-59130-443-6,44689,700,74047,70A  Marion Rd,30-06-2022  72:00:00 AM,15,1
173.194.205.188-10.42.0.151-5228-50845-6,44689,700,73669,8F  Marion Rd,30-06-2022  72:00:00 AM,17,1
172.217.7.3-10.42.0.211-443-36003-6,44689,700,72463,220 Woodville Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.151-10.42.0.1-49027-53-17,44689,700,73269,70  Holbrooks Rd,30-06-2022  72:00:00 AM,2,0
180.149.136.194-10.42.0.211-80-43785-6,44689,700,73375,207 Marion Rd,30-06-2022  72:00:00 AM,7,0
5.35.88.25-10.42.0.211-59103-60774-17,44689,700,74737,77A  Marion Rd,30-06-2022  72:00:00 AM,13,1
172.217.10.65-10.42.0.211-443-52361-6,44689,700,72472,227 Woodville Rd,30-06-2022  72:00:00 AM,17,1
10.42.0.1-10.42.0.42-52045-5351-17,44689,700,72663,276 Findon Rd,30-06-2022  72:00:00 AM,7,1
182.22.24.124-10.42.0.211-443-38526-6,44689,700,72747,23  Findon Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.42-98.139.180.149-57971-80-6,44689,700,74037,79  Portrush Rd,30-06-2022  72:00:00 AM,7,1
10.42.0.211-10.42.0.1-23408-53-17,44690,700,72285,223 Woodville Rd,30-06-2022  72:00:00 AM,7,0
180.149.136.194-10.42.0.42-443-54267-6,44690,700,72463,220 Woodville Rd,30-06-2022  72:00:00 AM,13,1
10.42.0.151-104.244.43.195-58071-443-6,44690,700,73040,206 Holbrooks Rd,30-06-2022  72:00:00 AM,7,0
172.217.10.74-10.42.0.211-443-60158-6,44690,700,73953,9C  Marion Rd,30-06-2022  72:00:00 AM,7,0
202.77.129.150-10.42.0.42-80-40104-6,44690,700,73337,9A  Holbrooks Rd,30-06-2022  72:00:00 AM,5,0
172.217.10.14-10.42.0.211-443-55191-6,44690,700,74083,765 Cross Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.211-104.192.110.245-33929-80-6,44690,700,74098,767 Cross Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-10.42.0.1-47313-53-17,44690,700,72527,279 Woodville Rd,30-06-2022  72:00:00 AM,6,1
172.217.12.170-10.42.0.151-443-58982-6,44690,700,73730,8G  Marion Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.211-108.174.11.1-37237-80-6,44690,700,74737,77A  Marion Rd,30-06-2022  72:00:00 AM,17,1
198.105.244.11-10.42.0.211-80-35239-6,44690,700,72947,77  Grange Rd,30-06-2022  72:00:00 AM,1,0
203.205.158.61-10.42.0.211-80-42199-6,44690,700,73874,9  Marion Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.211-52.84.40.103-41690-80-6,44690,700,74095,766 Cross Rd,30-06-2022  72:00:00 AM,12,1
203.205.191.27-10.42.0.151-80-43278-6,44690,700,72580,278 Findon Rd,30-06-2022  72:00:00 AM,7,0
175.100.207.231-10.42.0.151-443-32916-6,44690,700,72352,Woodville,30-06-2022  72:00:00 AM,7,1
183.79.248.252-10.42.0.211-443-44381-6,44690,700,72747,23  Findon Rd,30-06-2022  72:00:00 AM,5,0
172.217.12.195-10.42.0.211-443-40250-6,44690,700,72864,20  Crittenden Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.151-52.94.232.32-41778-443-6,44690,700,74037,79  Portrush Rd,30-06-2022  72:00:00 AM,12,1
157.55.56.163-10.42.0.211-40027-60774-17,44690,700,74047,70A  Marion Rd,30-06-2022  72:00:00 AM,15,1
10.42.0.151-10.42.0.1-2478-53-17,44690,700,73456,8B  Marion Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-52.84.37.172-35074-443-6,44690,700,74770,770 Cross Rd,30-06-2022  72:00:00 AM,2,1
10.42.0.211-10.42.0.1-40547-53-17,44690,700,72266,Zone A Arndale Interchange,30-06-2022  72:00:00 AM,4,0
220.243.219.55-10.42.0.211-80-41306-6,44690,700,73375,207 Marion Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.151-52.84.142.16-45431-443-6,44690,700,73577,8D  Marion Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-10.42.0.1-26470-53-17,44690,700,74735,775 Cross Rd,30-06-2022  72:00:00 AM,14,1
10.42.0.211-10.42.0.1-19352-53-17,44690,700,74742,776 Cross Rd,30-06-2022  72:00:00 AM,4,0
10.42.0.211-10.42.0.1-46738-53-17,44690,700,72663,276 Findon Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.42-66.231.239.122-34701-80-6,44690,700,73669,8F  Marion Rd,30-06-2022  72:00:00 AM,12,0
10.42.0.211-77.234.44.42-45818-80-6,44690,700,72472,227 Woodville Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.211-10.42.0.1-57285-53-17,44690,700,73269,70  Holbrooks Rd,30-06-2022  72:00:00 AM,3,0
180.149.153.234-10.42.0.211-80-40068-6,44690,700,73499,8C  Marion Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.151-119.146.74.49-40037-443-6,44690,700,74746,777 Cross Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.211-10.42.0.1-33590-53-17,44690,700,73627,8E  Marion Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-103.235.46.212-57624-443-6,44697,700,72747,23  Findon Rd,30-06-2022  72:00:00 AM,6,0
202.77.129.150-10.42.0.211-443-48308-6,44697,700,73375,207 Marion Rd,30-06-2022  72:00:00 AM,3,0
10.42.0.42-104.254.66.16-38147-80-6,44697,700,74737,77A  Marion Rd,30-06-2022  72:00:00 AM,12,1
172.217.12.194-10.42.0.211-443-33494-6,44697,700,74098,767 Cross Rd,30-06-2022  72:00:00 AM,8,1
172.217.10.131-10.42.0.211-443-45714-6,44697,700,74742,776 Cross Rd,30-06-2022  72:00:00 AM,14,1
172.217.11.42-10.42.0.42-443-35388-6,44697,700,72896,79  Crittenden Rd,30-06-2022  72:00:00 AM,7,1
10.42.0.211-72.30.3.43-45375-443-6,44697,700,73953,9C  Marion Rd,30-06-2022  72:00:00 AM,12,1
172.217.7.227-10.42.0.151-443-53213-6,44697,700,74705,769 Cross Rd,30-06-2022  72:00:00 AM,2,0
203.205.147.229-10.42.0.151-80-41121-6,44697,700,74752,779 Cross Rd,30-06-2022  72:00:00 AM,7,1
172.217.10.42-10.42.0.151-443-34145-6,44697,700,72947,77  Grange Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.211-104.88.89.135-40911-443-6,44697,700,74770,770 Cross Rd,30-06-2022  72:00:00 AM,7,0
203.205.144.184-10.42.0.151-80-56468-6,44697,700,74727,772 Cross Rd,30-06-2022  72:00:00 AM,8,0
10.42.0.211-23.206.166.66-56791-80-6,44697,700,74746,777 Cross Rd,30-06-2022  72:00:00 AM,7,1
10.42.0.211-10.42.0.1-64538-53-17,44697,700,72806,27  Crittenden Rd,30-06-2022  72:00:00 AM,2,0
203.205.128.137-10.42.0.42-80-37901-6,44697,700,73337,9A  Holbrooks Rd,30-06-2022  72:00:00 AM,13,1
10.42.0.211-101.37.100.196-49798-9500-6,44697,700,72463,220 Woodville Rd,30-06-2022  72:00:00 AM,5,0
10.42.0.1-10.42.0.42-53-46313-17,44697,700,73073,205 Holbrooks Rd,30-06-2022  72:00:00 AM,34,1
172.217.3.98-10.42.0.211-443-42769-6,44697,700,73456,8B  Marion Rd,30-06-2022  72:00:00 AM,7,0
172.217.12.195-10.42.0.151-443-48392-6,44697,700,73905,9A  Marion Rd,30-06-2022  72:00:00 AM,7,1
10.42.0.151-98.139.183.24-51674-80-6,44697,700,74047,70A  Marion Rd,30-06-2022  72:00:00 AM,9,1
10.42.0.211-36.51.254.232-60019-443-6,44697,700,74773,777 Cross Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-52.84.145.191-46172-443-6,44697,700,72864,20  Crittenden Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.151-52.84.40.168-34225-80-6,44697,700,74702,768 Cross Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.211-23.206.125.17-34769-80-6,44697,700,72939,78  Crittenden Rd,30-06-2022  72:00:00 AM,2,0
198.11.132.178-10.42.0.211-443-37369-6,44697,700,73269,70  Holbrooks Rd,30-06-2022  72:00:00 AM,5,1
10.42.0.42-121.12.98.63-44702-80-6,44697,700,73627,8E  Marion Rd,30-06-2022  72:00:00 AM,7,1
172.217.12.170-10.42.0.151-443-48963-6,44697,700,73877,8K  Marion Rd,30-06-2022  72:00:00 AM,3,0
10.42.0.42-72.21.206.135-42732-443-6,44692,700,74037,79  Portrush Rd,30-06-2022  72:00:00 AM,14,1
172.217.9.234-10.42.0.151-443-45620-6,44692,700,73073,205 Holbrooks Rd,30-06-2022  72:00:00 AM,7,0
172.217.6.238-10.42.0.151-443-49670-6,44692,700,74742,776 Cross Rd,30-06-2022  72:00:00 AM,15,1
10.42.0.42-62.138.0.117-49847-80-6,44692,700,74752,779 Cross Rd,30-06-2022  72:00:00 AM,3,0
172.217.9.234-10.42.0.211-443-45997-6,44692,700,74735,775 Cross Rd,30-06-2022  72:00:00 AM,14,1
172.217.10.227-10.42.0.151-443-41093-6,44692,700,73269,70  Holbrooks Rd,30-06-2022  72:00:00 AM,5,0
172.217.10.65-10.42.0.211-443-39634-6,44692,700,73375,207 Marion Rd,30-06-2022  72:00:00 AM,17,1
222.73.28.96-10.42.0.211-80-48011-6,44692,700,74737,77A  Marion Rd,30-06-2022  72:00:00 AM,6,0
10.42.0.151-10.42.0.1-24763-53-17,44692,700,72527,279 Woodville Rd,30-06-2022  72:00:00 AM,17,1
172.217.10.106-10.42.0.42-443-45270-6,44692,700,73937,9B  Marion Rd,30-06-2022  72:00:00 AM,12,0
10.42.0.151-106.11.15.99-60601-443-6,44692,700,74077,763 Cross Rd,30-06-2022  72:00:00 AM,17,1
10.42.0.151-13.32.250.220-36612-443-6,44692,700,74758,787 Cross Rd,30-06-2022  72:00:00 AM,14,1
172.217.10.132-10.42.0.151-443-52322-6,44692,700,72939,78  Crittenden Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.42-123.125.115.164-53727-443-6,44692,700,77887,765A Cross Rd,30-06-2022  72:00:00 AM,5,0
10.42.0.211-10.42.0.1-53658-53-17,44692,700,72782,22A  Crittenden Rd,30-06-2022  72:00:00 AM,7,0
172.217.12.174-10.42.0.42-443-48856-6,44692,700,74083,765 Cross Rd,30-06-2022  72:00:00 AM,13,1
10.42.0.211-10.42.0.1-37564-53-17,44692,700,74047,70A  Marion Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.211-106.39.169.66-38942-443-6,44692,700,74064,20  Cross Rd,30-06-2022  72:00:00 AM,7,1
172.217.10.129-10.42.0.42-443-33660-6,44692,700,74098,767 Cross Rd,30-06-2022  72:00:00 AM,72,1
10.42.0.151-54.239.29.0-59527-443-6,44692,700,72352,Woodville,30-06-2022  72:00:00 AM,17,1
172.217.12.174-10.42.0.211-443-43223-6,44692,700,74770,770 Cross Rd,30-06-2022  72:00:00 AM,3,0
172.217.11.13-10.42.0.151-443-52643-6,44692,700,74767,782 Cross Rd,30-06-2022  72:00:00 AM,17,1
239.255.255.250-10.42.0.1-1900-40313-17,44692,700,72806,27  Crittenden Rd,30-06-2022  72:00:00 AM,9,0
216.58.212.195-10.42.0.151-443-42233-17,44693,700,72939,78  Crittenden Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-64.71.142.124-52855-80-6,44693,700,72953,207 Holbrooks Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.151-31.13.71.52-37937-443-6,44693,700,73627,8E  Marion Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.211-31.13.71.52-36025-443-6,44693,700,77887,765A Cross Rd,30-06-2022  72:00:00 AM,2,0
172.217.6.234-10.42.0.211-443-34750-6,44693,700,73269,70  Holbrooks Rd,30-06-2022  72:00:00 AM,49,1
10.42.0.211-77.234.44.200-35036-80-6,44693,700,73499,8C  Marion Rd,30-06-2022  72:00:00 AM,5,0
10.42.0.151-31.13.71.3-39936-443-6,44693,700,74735,775 Cross Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.151-31.13.71.7-59286-443-6,44693,700,74752,779 Cross Rd,30-06-2022  72:00:00 AM,7,0
172.217.10.226-10.42.0.211-443-33254-6,44693,700,74758,787 Cross Rd,30-06-2022  72:00:00 AM,17,1
10.42.0.211-54.192.38.154-46267-443-6,44693,700,72663,276 Findon Rd,30-06-2022  72:00:00 AM,4,1
172.217.3.110-10.42.0.151-443-56124-6,44693,700,73073,205 Holbrooks Rd,30-06-2022  72:00:00 AM,4,0
172.217.10.1-10.42.0.211-443-56094-6,44693,700,72833,22 Crittenden Rd,30-06-2022  72:00:00 AM,17,1
10.42.0.151-10.42.0.1-27994-53-17,44693,700,74770,770 Cross Rd,30-06-2022  72:00:00 AM,3,0
172.217.10.131-10.42.0.211-443-44693-6,44693,700,72747,23  Findon Rd,30-06-2022  72:00:00 AM,8,0
198.11.188.75-10.42.0.211-443-48346-6,44693,700,72864,20  Crittenden Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.1-10.42.0.42-53-37452-17,44693,700,73375,207 Marion Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.211-10.42.0.1-8016-53-17,44693,700,74037,79  Portrush Rd,30-06-2022  72:00:00 AM,7,0
198.11.188.78-10.42.0.211-443-44990-6,44693,700,74047,70A  Marion Rd,30-06-2022  72:00:00 AM,23,1
10.42.0.211-10.42.0.1-25389-53-17,44693,700,72352,Woodville,30-06-2022  72:00:00 AM,6,0
140.205.140.87-10.42.0.151-443-49258-6,44693,700,73767,8H  Marion Rd,30-06-2022  72:00:00 AM,7,1
8.0.6.4-8.6.0.1-0-0-0,44693,700,74000,70  Marion Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.1-10.42.0.42-53-31106-17,44693,700,74767,782 Cross Rd,30-06-2022  72:00:00 AM,12,1
172.217.11.14-10.42.0.151-443-34569-17,44693,700,72896,79  Crittenden Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-104.193.88.109-45537-80-6,44693,700,74742,776 Cross Rd,30-06-2022  72:00:00 AM,14,1
172.217.10.142-10.42.0.211-443-51926-6,44693,700,72947,77  Grange Rd,30-06-2022  72:00:00 AM,12,0
202.77.129.230-10.42.0.211-80-60570-6,44693,700,73874,9  Marion Rd,30-06-2022  72:00:00 AM,13,1
172.217.11.14-10.42.0.42-443-42597-6,44693,700,73937,9B  Marion Rd,30-06-2022  72:00:00 AM,5,0
172.217.10.138-10.42.0.211-443-46101-6,44693,700,73577,8D  Marion Rd,30-06-2022  72:00:00 AM,14,1
10.42.0.42-37.1.204.175-46918-80-6,44693,700,72527,279 Woodville Rd,30-06-2022  72:00:00 AM,14,1
151.101.45.140-10.42.0.211-443-34471-6,44693,700,73730,8G  Marion Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-119.146.74.33-45944-443-6,44693,700,74064,20  Cross Rd,30-06-2022  72:00:00 AM,10,0
10.42.0.211-10.42.0.1-8323-53-17,44693,700,74077,763 Cross Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.151-10.42.0.1-32011-53-17,44693,700,74098,767 Cross Rd,30-06-2022  72:00:00 AM,17,1
239.255.255.250-10.42.0.42-1900-54935-17,44693,700,74737,77A  Marion Rd,30-06-2022  72:00:00 AM,4,1
10.42.0.211-74.6.105.9-33688-443-6,44693,700,74723,773 Cross Rd,30-06-2022  72:00:00 AM,7,0
219.142.78.162-10.42.0.42-80-60034-6,44693,700,72463,220 Woodville Rd,30-06-2022  72:00:00 AM,14,1
172.217.5.228-10.42.0.211-443-36180-6,44693,700,72580,278 Findon Rd,30-06-2022  72:00:00 AM,7,1
10.42.0.42-72.21.207.79-52396-443-6,44693,700,73337,9A  Holbrooks Rd,30-06-2022  72:00:00 AM,74,0
10.42.0.211-52.38.131.10-44973-443-6,44694,700,72352,Woodville,30-06-2022  72:00:00 AM,13,1
182.22.24.124-10.42.0.211-443-53943-6,44694,700,73937,9B  Marion Rd,30-06-2022  72:00:00 AM,2,0
202.77.129.185-10.42.0.211-80-43573-6,44694,700,74702,768 Cross Rd,30-06-2022  72:00:00 AM,3,0
10.42.0.151-54.239.17.113-43022-443-6,44694,700,74770,770 Cross Rd,30-06-2022  72:00:00 AM,6,0
180.149.153.234-10.42.0.211-80-39432-6,44694,700,72939,78  Crittenden Rd,30-06-2022  72:00:00 AM,13,1
205.204.101.182-10.42.0.211-443-55483-6,44694,700,73269,70  Holbrooks Rd,30-06-2022  72:00:00 AM,20,0
169.55.75.105-10.42.0.151-5222-38593-6,44694,700,73877,8K  Marion Rd,30-06-2022  72:00:00 AM,13,1
171.84.4.11-10.42.0.211-80-39652-6,44694,700,74047,70A  Marion Rd,30-06-2022  72:00:00 AM,6,0
10.42.0.1-10.42.0.42-53-17257-17,44694,700,72463,220 Woodville Rd,30-06-2022  72:00:00 AM,14,1
10.42.0.211-10.42.0.1-28931-53-17,44694,700,72663,276 Findon Rd,30-06-2022  72:00:00 AM,3,0
10.42.0.151-23.208.35.210-45546-80-6,44694,700,73073,205 Holbrooks Rd,30-06-2022  72:00:00 AM,14,1
10.42.0.211-104.97.95.172-45821-80-6,44694,700,74773,777 Cross Rd,30-06-2022  72:00:00 AM,7,1
10.42.0.42-66.228.48.38-36441-123-17,44694,700,74758,787 Cross Rd,30-06-2022  72:00:00 AM,10,0
10.42.0.151-52.41.146.210-56299-443-6,44694,700,72833,22 Crittenden Rd,30-06-2022  72:00:00 AM,7,1
10.42.0.211-10.42.0.1-22725-53-17,44694,700,73337,9A  Holbrooks Rd,30-06-2022  72:00:00 AM,11,0
10.42.0.211-10.42.0.1-30330-53-17,44694,700,73627,8E  Marion Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.211-104.88.89.135-50923-443-6,44694,700,77887,765A Cross Rd,30-06-2022  72:00:00 AM,77,1
8.0.6.4-8.6.0.1-0-0-0,44694,700,73499,8C  Marion Rd,30-06-2022  72:00:00 AM,17,1
10.42.0.211-23.203.49.224-57143-443-6,44694,700,73669,8F  Marion Rd,30-06-2022  72:00:00 AM,7,0
172.217.3.104-10.42.0.151-443-45328-6,44694,700,73905,9A  Marion Rd,30-06-2022  72:00:00 AM,12,1
172.217.10.232-10.42.0.211-443-40772-6,44694,700,74727,772 Cross Rd,30-06-2022  72:00:00 AM,2,0
172.217.11.10-10.42.0.211-443-52547-6,44694,700,74746,777 Cross Rd,30-06-2022  72:00:00 AM,17,1
172.217.10.35-10.42.0.151-80-49966-6,44694,700,72472,227 Woodville Rd,30-06-2022  72:00:00 AM,2,0
216.58.217.68-10.42.0.211-443-43145-6,44694,700,73730,8G  Marion Rd,30-06-2022  72:00:00 AM,17,1
172.217.10.35-10.42.0.211-443-52518-6,44694,700,74083,765 Cross Rd,30-06-2022  72:00:00 AM,2,0
172.217.2.110-10.42.0.151-443-43725-6,44694,700,74095,766 Cross Rd,30-06-2022  72:00:00 AM,17,1
10.42.0.211-111.206.25.159-34541-80-6,44694,700,74735,775 Cross Rd,30-06-2022  72:00:00 AM,2,0
180.76.175.73-10.42.0.42-80-34926-6,44694,700,74752,779 Cross Rd,30-06-2022  72:00:00 AM,13,1
172.217.6.194-10.42.0.211-443-55387-6,44694,700,74098,767 Cross Rd,30-06-2022  72:00:00 AM,87,0
10.42.0.1-10.42.0.42-53-21233-17,44694,700,74742,776 Cross Rd,30-06-2022  72:00:00 AM,37,1
172.217.12.142-10.42.0.151-443-38920-6,44694,700,72670,277 Findon Rd,30-06-2022  72:00:00 AM,17,1
10.42.0.211-10.42.0.1-30942-53-17,44694,700,74705,769 Cross Rd,30-06-2022  72:00:00 AM,5,0
172.217.12.170-10.42.0.211-443-56581-6,44694,700,72947,77  Grange Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.42-23.217.155.120-47526-80-6,44694,700,72227,224 Woodville Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.151-10.42.0.1-47008-53-17,44694,700,73375,207 Marion Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.211-104.193.88.109-57984-80-6,44694,700,73577,8D  Marion Rd,30-06-2022  72:00:00 AM,4,0
183.136.237.235-10.42.0.151-80-35982-6,44694,700,74737,77A  Marion Rd,30-06-2022  72:00:00 AM,16,1
10.42.0.42-123.125.115.164-53298-443-6,44694,700,72580,278 Findon Rd,30-06-2022  72:00:00 AM,17,1
172.217.10.10-10.42.0.151-443-34759-6,44694,700,72747,23  Findon Rd,30-06-2022  72:00:00 AM,40,0
